iter	RMSE
0	622.5321881
1	600.5280056
2	578.7355798
3	558.8653076
4	540.8955243
5	524.1644394
6	508.5778732
7	494.2593316
8	479.8869833
9	466.6979972
10	454.6173751
11	442.1628257
12	430.9848113
13	420.856622
14	411.1973923
15	401.8421361
16	393.6282547
17	385.9724478
18	379.0151821
19	372.970588
20	366.4802147
21	360.789975
22	355.5048202
23	350.3317421
24	345.3414658
25	341.0268852
26	336.2251878
27	332.3654405
28	328.4249225
29	325.1516276
30	321.6295327
31	318.4113624
32	315.0443079
33	311.7473249
34	309.0166892
35	306.345313
36	303.8653872
37	301.1641055
38	299.3333073
39	296.6439652
40	294.3750859
41	291.7934754
42	289.3144143
43	287.7725868
44	285.9291812
45	284.2698565
46	282.2943161
47	280.4024331
48	278.5162493
49	276.8470765
50	275.4521083
51	273.8377682
52	272.6709789
53	271.5204942
54	270.0060758
55	269.0436394
56	267.7965389
57	266.6109113
58	265.6836499
59	264.2319361
60	262.811882
61	262.0777719
62	261.1096789
63	260.0353827
64	259.159994
65	258.2097237
66	257.3845266
67	256.3198526
68	255.4023088
69	254.625321
70	253.7814621
71	253.175509
72	252.0222837
73	251.4176925
74	250.9201652
75	250.5034466
76	249.8047508
77	249.2018812
78	248.3880404
79	247.8722886
80	247.6096653
81	246.9498962
82	246.7341027
83	246.1777827
84	245.7262647
85	245.1792797
86	244.5809345
87	244.0278899
88	243.4159109
89	243.0099117
90	242.426208
91	241.9673241
92	241.680588
93	241.189985
94	240.8094069
95	240.3610198
96	240.0144751
97	239.3697608
98	239.0885658
99	238.7094744
100	238.4512384
101	238.1656794
102	237.627387
103	237.269449
104	236.8139385
105	236.2407266
106	236.0270214
107	235.5976293
108	235.3317769
109	234.9903204
110	234.7887125
111	234.3126608
112	233.9732126
113	233.5679714
114	233.337722
115	233.0687615
116	232.7113049
117	232.5777157
118	232.362688
119	232.1425849
120	231.9006909
121	231.6651152
122	231.4095629
123	231.0103033
124	230.8305496
125	230.486202
126	230.2078265
127	229.9043811
128	229.7430544
129	229.4745818
130	229.352025
131	229.099898
132	228.3933126
133	228.2369628
134	227.9491991
135	227.8189012
136	227.4606814
137	227.229459
138	227.0343669
139	226.8305388
140	226.6683179
141	226.3368161
142	226.091751
143	225.8643266
144	225.7706356
145	225.6865202
146	225.4600878
147	225.2200265
148	224.9173878
149	224.7942768
150	224.6483488
151	224.2899999
152	224.1411097
153	223.8903133
154	223.6858072
155	223.4148234
156	223.3364464
157	223.0336657
158	222.8772971
159	222.6526435
160	222.5433316
161	222.1786335
162	222.000689
163	221.8496777
164	221.612803
165	221.2813039
166	221.1853681
167	221.0427925
168	220.8687979
169	220.7385779
170	220.6257641
171	220.3892652
172	220.2079814
173	220.0372304
174	219.9729542
175	219.6005232
176	219.4784752
177	219.2958719
178	218.9122207
179	218.7106128
180	218.4979657
181	218.2265623
182	218.0919483
183	217.8288711
184	217.6873948
185	217.4293988
186	217.2163419
187	216.9918725
188	216.7928686
189	216.6286756
190	216.37455
191	216.1997943
192	215.9819831
193	215.793931
194	215.675954
195	215.5421946
196	215.4013988
197	215.155886
198	215.0117894
199	214.9092307
200	214.7474798
201	214.5910652
202	214.4495788
203	214.2933863
204	214.1789939
205	213.9672954
206	213.738227
207	213.5994168
208	213.2892284
209	212.9953996
210	212.8721559
211	212.6651138
212	212.3940931
213	212.1754256
214	212.0318115
215	211.7305235
216	211.511605
217	211.3803439
218	211.2142266
219	211.050654
220	210.8552082
221	210.7469803
222	210.4327867
223	210.2957381
224	210.0748838
225	209.8879483
226	209.5967336
227	209.4506547
228	209.3156417
229	209.182004
230	209.0265012
231	208.8637385
232	208.6912958
233	208.4678039
234	208.3123838
235	208.1484015
236	208.0293715
